id_marca,nombre_marca,numero_registro,estado_registro
340,1929 PROHIBITION PORTER,LBD.0151262,ACTIVE
341,1933 MACLEOD'S 12YR SHERRY CASK SM,LBD.0233046,ACTIVE
342,1933 MACLEOD'S 15YR SHERRY CASK SM,LBD.0233047,ACTIVE
343,1933 MACLEOD'S 18YR SHERRY CASK SM,LBD.0233026,ACTIVE
344,1933 MACLEOD'S 21 YEARS OLD SHERRY CASK FINISH SINGLE MALT SCOTCH WHISKY,LBD.0226274,ACTIVE
345,1933 MACLEOD'S 21YR SHERRY CASK SM,LBD.0233027,ACTIVE
346,1933 MACLEOD'S 25 YEARS OLD SHERRY CASK FINISH SINGLE MALT SCOTCH WHISKY,LBD.0226275,ACTIVE
347,1933 MACLEOD'S 25YR SHERRY CASK SM,LBD.0233028,ACTIVE
348,1933 MACLEOD'S 28 YEARS OLD SHERRY CASK FINISH,LBD.0225360,ACTIVE
349,1933 MACLEOD'S 28YR SHERRY CASK SM,LBD.0233029,ACTIVE
350,1933 MACLEOD'S HIGHLAND SINGLE MALT SCOTCH WHISKY PX SHERRY CASK FINISH,LBD.0216859,ACTIVE
351,1933 MACLEOD'S HIGHLAND SINGLE MALT SCOTCH WHISKY SHERRY CASK FINISH 18 YEARS OLD,LBD.0215773,ACTIVE
352,1933 MACLEOD'S PX SHERRY CASK SM,LBD.0233030,ACTIVE
353,1939 AMBER,LBD.0219235,ACTIVE
354,1941 VODKA,LBD.0135229,ACTIVE
355,1944 MAI TAI,LBD.0174872,ACTIVE
356,1969,LBD.0139061,ACTIVE
357,1976,LBD.0233364,ACTIVE
358,1ST RULE,LBD.0220421,ACTIVE
359,2 ALBERTS DOUBLE INDIA PALE ALE,LBD.0158938,ACTIVE
360,2 GINGERS,LBD.0106098,ACTIVE
361,20 ALDEAS TEMPRANILLO CASTILLA Y LEON,LBD.0187097,ACTIVE
362,20 ALDEAS TEMPRANILLO RIBERA DEL DUERO 0485,LBD.0231460,ACTIVE
363,20 TON,LBD.0111991,ACTIVE
